label,fred_qd_group,fred_qd_mnemonic,us_note,cross_country_note,plausibility_category
real_gdp,Output and Income,GDPC1,,,level
real_household_consumption,Output and Income,PCECC96,,"Source-dependent: for EU members (Eurostat NA_ITEM=P31_S14) this is household-only consumption, a close match to FRED-QD's household-only PCE; where OECD QNA is used instead (sector S1M), it is total-economy final consumption expenditure INCLUDING NPISHs, broader than FRED-QD's definition.",level
real_govt_consumption,Output and Income,GCEC1,,"SNA/ESA transaction P3, sector S13 (general government) is government consumption expenditure only, whether sourced from OECD or Eurostat; FRED-QD's GCEC1 also includes government gross investment.",level
real_gfcf_total,Output and Income,FPIx,,"SNA/ESA transaction P51G (gross fixed capital formation) is for ALL sectors (incl. government), whether sourced from OECD or Eurostat; FRED-QD's FPIx is private-sector fixed investment only.",level
real_exports,Output and Income,EXPGSC1,,,level
real_imports,Output and Income,IMPGSC1,,,level
real_household_disposable_income,Output and Income,DPIC96,,"OECD's quarterly household disposable income (DF_QNA_INC_SAV) is published for only 11 countries (AUS, BRA, CAN, CHL, EST, GRC, HUN, LTU, LUX, LVA, ZAF); absent for most others, confirmed absent for DEU/AUT/USA/FRA/GBR.",level
industrial_production,Industrial Production,INDPRO,,,level
industrial_confidence,Industrial Production,,"No FRED-QD equivalent; the EC's Industrial Confidence Indicator (since 1985) is a standard input to the OECD's Composite Leading Indicators for many countries, with documented leading-indicator value for industrial production/GDP turning points.","EU member states only: European Commission Business and Consumer Survey, Industrial Confidence Indicator (""AT.INDU"") -- see R/ec_survey.R. No FRED-mirror fallback exists for this concept.",balance
unemployment_rate,Employment and Unemployment,UNRATE,,,percent
employment_rate,Employment and Unemployment,,No FRED-QD employment-rate series; nearest are CE16OV (level) and CIVPART (participation rate).,"Employment-to-population ratio, ages 15-64 (OECD MEI); included as a standard cross-country labour-market indicator even though FRED-QD has no direct equivalent (see us_note).",percent
employment_expectations,Employment and Unemployment,,No FRED-QD equivalent; DG ECFIN's own purpose-built leading indicator for employment turning points (introduced 2013 specifically because the surveys' employment sub-components lead employment growth).,"EU member states only: European Commission Business and Consumer Survey, Employment Expectations Indicator (""AT.EEI"") -- see R/ec_survey.R. No FRED-mirror fallback exists for this concept.",balance
house_price_real,Housing,USSTHPI,,,level
construction_confidence,Housing,,"No FRED-QD equivalent; a standard EC sentiment sub-index for the construction sector, companion to house_price_real.","EU member states only: European Commission Business and Consumer Survey, Construction Confidence Indicator (""AT.BUIL"") -- see R/ec_survey.R. No FRED-mirror fallback exists for this concept.",balance
retail_sales_volume,"Inventories, Orders, and Sales",RSAFSx,,"OECD MEI retail sales volume is not published for the USA itself via this mirror -- a genuine coverage gap for that one country, not a wrong code.",level
retail_confidence,"Inventories, Orders, and Sales",,"No FRED-QD equivalent; a standard EC sentiment sub-index for the retail sector, companion to retail_sales_volume.","EU member states only: European Commission Business and Consumer Survey, Retail Trade Confidence Indicator (""AT.RETA"") -- see R/ec_survey.R. No FRED-mirror fallback exists for this concept.",balance
cpi_index,Prices,CPIAUCSL,,"EU member states: sourced from Eurostat's Harmonised Index of Consumer Prices (HICP, all-items, prc_hicp_midx), NOT the frozen OECD-MEI-via-FRED mirror used for non-EU countries -- see R/eurostat.R. Confirmed live 2026-08-30 to extend to 2025-Q4 for Austria, versus the FRED mirror's confirmed freeze at 2023-Q4 -- a roughly 2-year improvement. HICP's basket/methodology differs somewhat from the US CPI-U basket underlying FRED-QD's CPIAUCSL, but is the standard EU consumer-price measure. Falls back to the FRED mirror if the Eurostat series is unavailable for a given run.",balance
core_cpi_index,Prices,CPILFESL,,"Eurostat HICP excluding energy, food, alcohol and tobacco (COICOP=TOT_X_NRG_FOOD) -- the standard ECB/Eurostat ""core inflation"" measure. EU member states only; no FRED-mirror fallback exists for this concept.",level
food_price_index,Prices,,"No standalone CPI-food mnemonic in FRED-QD's 245-series list (the closest entries are PCE-side, e.g. DFXARG3Q086SBEA); included as a standard EU/ECB headline-inflation breakdown component.","Eurostat HICP, food and non-alcoholic beverages (COICOP=CP01). EU member states only; no FRED-mirror fallback exists for this concept.",level
energy_price_index,Prices,,"No standalone CPI-energy mnemonic in FRED-QD's 245-series list (the closest entries are producer-price WPU0531/WPU0561 or the global OILPRICEx benchmark, none implemented here); included as a standard EU/ECB headline-inflation breakdown component.","Eurostat HICP, energy (COICOP=NRG). EU member states only; no FRED-mirror fallback exists for this concept.",level
services_price_index,Prices,CUSR0000SAS,,"Eurostat HICP, services (overall index excluding goods) (COICOP=SERV). EU member states only; no FRED-mirror fallback exists for this concept.",level
unit_labor_cost,Earnings and Productivity,ULCNFB,"FRED-QD's ULCNFB is a nonfarm-business, hours-based unit-labor-cost INDEX; the OECD-mirror series used for every country (incl. the US) is an employment-based % CHANGE -- related concepts, different construction.","Where Eurostat publishes an index-level series for it (confirmed for Austria: namq_10_lp_ulc, NA_ITEM=NULC_HW, UNIT=I10, hours-based like FRED-QD's ULCNFB), this replaces the default OECD-mirror proxy (OECD MEI unit labour cost, employment-based, % change, confirmed live for AT/DE/FR/GB/US) -- see R/eurostat.R. Not every EU country publishes this index-level series (confirmed absent for Germany, which keeps the OECD-mirror value).",balance
long_term_rate,Interest Rates,GS10,,,percent
short_term_rate,Interest Rates,TB3MS,,,percent
mortgage_rate,Interest Rates,MORTGAGE30US,FRED-QD's MORTGAGE30US is a 30-year FIXED-rate average; the ECB series used for euro-area countries is a new-business AAR/NDER rate across all initial rate fixation periods (fixed and variable combined) -- related but not an identical construction.,"ECB MFI Interest Rate Statistics (MIR): new-business loans to households for house purchase, all initial rate fixation periods combined -- genuinely country-specific (unlike euro_area_household_net_worth_growth above), available for euro-area members only.",percent
credit_to_private_nonfin_sector,Money and Credit,,"FRED-QD tracks credit by purpose/level (BUSLOANSx, TOTALSLx, REALLNx, ...), not one combined %GDP series like BIS's.","BIS reports this as a stock, % of GDP (private non-financial sector = households + nonfinancial corporations combined).",percent
