country,variable,provider,key,comment
USA,real_gdp,FRED_QD,GDPC1,
USA,real_household_consumption,FRED_QD,PCECC96,
USA,real_govt_consumption,FRED_QD,GCEC1,
USA,real_gfcf_total,FRED_QD,FPIx,
USA,real_exports,FRED_QD,EXPGSC1,
USA,real_imports,FRED_QD,IMPGSC1,
USA,real_household_disposable_income,FRED_QD,DPIC96,
USA,industrial_production,FRED_QD,INDPRO,
USA,industrial_confidence,NONE,,"No FRED-QD equivalent; the EC's Industrial Confidence Indicator (since 1985) is a standard input to the OECD's Composite Leading Indicators for many countries, with documented leading-indicator value for industrial production/GDP turning points."
USA,unemployment_rate,FRED_QD,UNRATE,
USA,employment_rate,NONE,,No FRED-QD employment-rate series; nearest are CE16OV (level) and CIVPART (participation rate).
USA,employment_expectations,NONE,,No FRED-QD equivalent; DG ECFIN's own purpose-built leading indicator for employment turning points (introduced 2013 specifically because the surveys' employment sub-components lead employment growth).
USA,house_price_real,FRED_QD,USSTHPI,
USA,construction_confidence,NONE,,"No FRED-QD equivalent; a standard EC sentiment sub-index for the construction sector, companion to house_price_real."
USA,retail_sales_volume,FRED_QD,RSAFSx,
USA,retail_confidence,NONE,,"No FRED-QD equivalent; a standard EC sentiment sub-index for the retail sector, companion to retail_sales_volume."
USA,cpi_index,FRED_QD,CPIAUCSL,
USA,core_cpi_index,FRED_QD,CPILFESL,
USA,food_price_index,NONE,,"No standalone CPI-food mnemonic in FRED-QD's 245-series list (the closest entries are PCE-side, e.g. DFXARG3Q086SBEA); included as a standard EU/ECB headline-inflation breakdown component."
USA,energy_price_index,NONE,,"No standalone CPI-energy mnemonic in FRED-QD's 245-series list (the closest entries are producer-price WPU0531/WPU0561 or the global OILPRICEx benchmark, none implemented here); included as a standard EU/ECB headline-inflation breakdown component."
USA,services_price_index,FRED_QD,CUSR0000SAS,
USA,unit_labor_cost,FRED_QD,ULCNFB,"FRED-QD's ULCNFB is a nonfarm-business, hours-based unit-labor-cost INDEX; the OECD-mirror series used for every country (incl. the US) is an employment-based % CHANGE -- related concepts, different construction."
USA,long_term_rate,FRED_QD,GS10,
USA,short_term_rate,FRED_QD,TB3MS,
USA,mortgage_rate,FRED_QD,MORTGAGE30US,FRED-QD's MORTGAGE30US is a 30-year FIXED-rate average; the ECB series used for euro-area countries is a new-business AAR/NDER rate across all initial rate fixation periods (fixed and variable combined) -- related but not an identical construction.
