date,real_gdp,real_household_consumption,real_govt_consumption,real_gfcf_total,real_exports,real_imports,real_household_disposable_income,industrial_production,unemployment_rate,employment_rate,house_price_real,retail_sales_volume,cpi_index,unit_labor_cost,long_term_rate,short_term_rate,mortgage_rate,credit_to_private_nonfin_sector,euro_area_household_net_worth_growth,household_credit_to_gdp,corporate_credit_to_gdp,fx_rate_to_usd,real_effective_exchange_rate,consumer_confidence,share_price_index
1955-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.30992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1955-04-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.11378,-0.312825860271087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1955-07-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.61273,0.9414225941422428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1955-10-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.33343,1.34715025906736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1956-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.52537,0.408997955010242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1956-04-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.05414,0.916496945010181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1956-07-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.16291,-0.100908173562063,NA,6.8666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1956-10-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.8559,0.6060606060605911,NA,7.1666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1957-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.9945,0.4016064257028149,NA,7.4,NA,NA,NA,NA,NA,NA,2.1483462264,NA,NA,NA
1957-04-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.46362,0.6000000000000121,NA,7.4,NA,NA,NA,NA,NA,NA,2.1487671901,NA,NA,NA
1957-07-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.51906,1.0934393638170898,NA,7.5666666667,NA,NA,NA,NA,NA,NA,2.1482848714,NA,NA,NA
1957-10-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.21415,0.196656833824957,NA,7.7,NA,NA,NA,NA,NA,NA,2.1483155489,NA,NA,NA
